Cities,Country,Latitude,Longitude,Cloudiness,Date,Humidity,Max Temperature,Wind Speed
mar del plata,AR,-38.0,-57.56,40, ,81,50.0,12.75
hermanus,ZA,-34.42,19.23,38, ,94,51.01,8.32
belushya guba, ,0.0,0.0,0, ,0,0.0,0.0
busselton,AU,-33.65,115.33,0, ,63,48.99,12.12
cap malheureux,MU,-19.98,57.61,76, ,71,66.99,3.0
hami,CN,42.8,93.45,0, ,30,62.87,5.91
bredasdorp,ZA,-34.53,20.04,13, ,81,53.6,5.82
mataura,NZ,-46.19,168.86,100, ,82,51.01,11.01
butaritari,KI,3.07,172.79,3, ,71,83.03,20.74
tumannyy, ,0.0,0.0,0, ,0,0.0,0.0
arraial do cabo,BR,-22.97,-42.03,0, ,78,77.0,16.11
bambous virieux,MU,-20.34,57.76,75, ,82,68.0,10.29
tunduma,TZ,-9.3,32.77,0, ,40,65.79,9.78
vaini,TO,-21.2,-175.2,75, ,68,71.6,13.87
luderitz,NA,-26.65,15.16,0, ,60,57.85,20.31
hilo,US,19.73,-155.09,20, ,65,81.0,4.7
bluff,NZ,-46.6,168.33,100, ,82,51.01,11.01
fort nelson,CA,58.81,-122.7,75, ,75,46.4,2.24
seoul,KR,37.57,126.98,90, ,94,68.0,2.53
havelock,US,34.88,-76.9,90, ,88,82.0,8.05
hithadhoo,MV,-0.6,73.08,59, ,76,82.27,12.33
rikitea,PF,-23.12,-134.97,6, ,77,73.65,8.1
turgutlu,TR,38.5,27.7,40, ,65,77.0,9.17
provideniya,RU,64.38,-173.3,75, ,87,46.4,4.47
taolanaro, ,0.0,0.0,0, ,0,0.0,0.0
ruatoria, ,0.0,0.0,0, ,0,0.0,0.0
aklavik,CA,68.22,-135.01,90, ,70,44.6,9.17
beyneu,KZ,45.32,55.2,17, ,42,55.15,9.53
ponta do sol,PT,32.67,-17.1,40, ,60,71.6,3.36
amderma, ,0.0,0.0,0, ,0,0.0,0.0
aykhal,RU,66.0,111.5,92, ,57,48.2,2.24
miri,MY,4.41,114.01,40, ,94,75.2,8.05
grand river south east, ,0.0,0.0,0, ,0,0.0,0.0
san cristobal,VE,7.77,-72.22,40, ,74,78.8,9.17
muros,ES,42.78,-9.06,9, ,86,66.99,1.99
east london,ZA,-33.02,27.91,0, ,57,61.14,11.18
jawhar,SO,2.78,45.5,61, ,77,76.24,14.16
nikolskoye,RU,59.7,30.79,90, ,88,62.6,6.71
