Cities,Country,Latitude,Longitude,Cloudiness,Humidity,Max Temperature,Wind Speed
shelburne,CA,44.08,-80.2,90,87,57.99,8.19
nikolskoye,RU,59.7,30.79,75,76,51.8,6.71
lishui,CN,28.46,119.91,45,51,93.36,3.0
ribeira grande,PT,38.52,-28.7,43,62,66.58,12.41
taolanaro, ,0.0,0.0,0,0,0.0,0.0
kasempa,ZM,-13.46,25.83,89,38,74.82,1.1
ipil,PH,7.75,122.52,100,90,76.69,4.79
sitka,US,57.05,-135.33,75,76,53.6,1.25
ushuaia,AR,-54.8,-68.3,40,65,41.0,20.8
azimur, ,0.0,0.0,0,0,0.0,0.0
saint-philippe,RE,-21.36,55.77,30,50,75.2,9.17
vardo,NO,70.37,31.11,33,80,41.0,10.29
maceio,BR,-9.67,-35.74,20,94,68.0,3.36
qaanaaq,GL,77.48,-69.36,0,75,16.66,7.63
chokurdakh,RU,70.63,147.92,98,82,41.95,7.96
talnakh,RU,69.49,88.4,1,44,60.8,22.37
kapaa,US,22.08,-159.32,40,69,80.6,9.17
port lincoln,AU,-34.73,135.87,100,86,58.28,26.93
new norfolk,AU,-42.78,147.06,21,48,57.0,1.99
punta arenas,CL,-53.15,-70.92,100,75,42.8,25.28
te anau,NZ,-45.42,167.72,100,86,42.12,4.88
upernavik,GL,72.79,-56.15,100,85,34.54,6.64
barra da estiva,BR,-13.63,-41.33,36,97,58.6,4.34
watrous,CA,51.67,-105.47,51,57,46.17,6.29
castro,BR,-24.79,-50.01,67,88,59.13,3.24
naruto,JP,34.18,134.62,75,83,82.99,18.34
diego de almagro,CL,-26.37,-70.05,0,58,49.75,1.43
tasiilaq,GL,65.61,-37.64,98,86,37.4,3.36
vaini,TO,-21.2,-175.2,75,73,71.6,13.87
pavlodar,KZ,52.3,76.95,75,51,59.0,20.13
barentsburg, ,0.0,0.0,0,0,0.0,0.0
kodiak,US,57.79,-152.41,90,93,53.6,8.05
pisco,PE,-13.7,-76.22,40,87,60.8,4.7
saskylakh,RU,71.92,114.08,63,50,60.12,11.86
lasa,IT,46.62,10.7,5,87,55.4,4.7
staraya mayna,RU,54.6,48.95,20,71,50.0,13.42
borovskiy,RU,57.04,65.72,90,76,51.8,15.66
yulara,AU,-25.24,130.99,75,20,86.0,12.75
bluff,NZ,-46.6,168.33,88,70,46.0,14.0
busselton,AU,-33.65,115.33,32,33,66.0,8.7
salamiyah,SY,35.01,37.05,0,33,83.7,6.46
port elizabeth,ZA,-33.92,25.57,3,62,59.0,10.29
san patricio,MX,19.22,-104.7,100,82,79.47,3.8
mys shmidta, ,0.0,0.0,0,0,0.0,0.0
lakes entrance,AU,-37.88,147.98,100,81,55.99,5.01
plonsk,PL,52.62,20.38,75,100,61.0,17.22
jamestown,US,42.1,-79.24,1,87,59.0,4.7
hermanus,ZA,-34.42,19.23,0,96,50.0,4.61
taburi, ,0.0,0.0,0,0,0.0,0.0
talara,PE,-4.58,-81.27,71,84,63.86,14.88
saint-francois,FR,46.42,3.91,3,93,57.0,1.7
tuktoyaktuk,CA,69.45,-133.04,90,87,42.8,8.05
mataura,NZ,-46.19,168.86,100,70,46.0,14.0
cape town,ZA,-33.93,18.42,0,93,52.0,4.7
hobart,AU,-42.88,147.33,40,40,57.0,9.17
albany,US,42.6,-73.97,29,78,55.99,2.91
hilo,US,19.73,-155.09,75,65,78.8,3.36
guerrero negro,MX,27.98,-114.06,11,50,79.0,8.95
puerto ayora,EC,-0.74,-90.35,91,90,66.0,7.0
ust-ishim,RU,57.69,71.17,100,68,50.88,6.8
rikitea,PF,-23.12,-134.97,32,85,72.23,21.88
nguiu, ,0.0,0.0,0,0,0.0,0.0
gardan diwal, ,0.0,0.0,0,0,0.0,0.0
severo-yeniseyskiy,RU,60.37,93.04,100,64,56.84,12.24
paso de los toros,UY,-32.82,-56.52,2,87,46.47,4.76
lapao,BR,-11.38,-41.83,7,93,60.57,10.07
buraydah,SA,26.33,43.98,0,23,84.2,2.24
longonjo,AO,-12.91,15.25,0,45,62.87,2.55
viedma,AR,-40.81,-63.0,100,57,55.99,8.01
maragogi,BR,-9.01,-35.22,8,80,71.31,7.83
butaritari,KI,3.07,172.79,100,72,84.0,18.25
nizhneyansk, ,0.0,0.0,0,0,0.0,0.0
troitsko-pechorsk,RU,62.71,56.2,49,74,44.29,11.61
college,US,64.86,-147.8,75,81,48.99,3.36
esperance,AU,-33.87,121.9,48,71,57.2,25.28
hokitika,NZ,-42.72,170.97,100,87,55.56,21.34
east wenatchee bench,US,47.43,-120.28,90,49,68.0,3.36
ludvika,SE,60.15,15.19,0,70,43.0,10.29
airai,TL,-8.93,125.41,93,53,76.78,3.18
karkaralinsk, ,0.0,0.0,0,0,0.0,0.0
samusu, ,0.0,0.0,0,0,0.0,0.0
hambantota,LK,6.12,81.12,40,70,89.6,17.22
dikson,RU,73.51,80.55,96,93,43.93,12.17
kahului,US,20.89,-156.47,40,61,80.6,19.46
nilanga,IN,18.1,76.77,61,67,85.06,8.14
kentau,KZ,43.52,68.51,72,47,55.06,14.16
hervey bay,AU,-25.3,152.85,0,60,75.99,7.0
tombouctou,ML,20.0,-3.0,0,16,87.91,16.28
pevek,RU,69.7,170.31,100,96,35.35,13.98
jadu,LY,31.95,12.03,0,43,70.0,7.38
ca mau,VN,9.18,105.15,91,85,79.07,11.72
khatanga,RU,71.97,102.5,14,59,59.76,6.85
qafqafa,JO,32.35,35.94,0,39,80.6,5.53
nome,US,64.5,-165.41,75,93,48.99,8.05
opuwo,NA,-18.06,13.84,0,21,67.55,4.34
opobo, ,0.0,0.0,0,0,0.0,0.0
magdalena,PH,14.2,121.43,90,79,84.2,9.17
clyde river,CA,70.47,-68.59,20,92,30.2,9.17
kloulklubed,PW,7.04,134.26,75,74,84.2,8.05
freeport,US,40.66,-73.58,75,68,68.0,5.82
mar del plata,AR,-38.0,-57.56,90,100,46.0,9.17
norman wells,CA,65.28,-126.83,40,70,44.6,4.7
show low,US,34.25,-110.03,1,20,62.6,5.82
san cristobal,VE,7.77,-72.22,89,90,63.7,1.7
ponta do sol,PT,32.67,-17.1,20,59,66.99,4.7
vostok,RU,46.49,135.88,46,74,63.95,5.86
avarua,CK,-21.21,-159.78,6,69,73.4,10.29
poli,TZ,-3.33,36.8,75,93,68.0,6.93
montes claros,BR,-16.73,-43.86,0,66,62.15,3.38
liverpool,GB,53.41,-2.98,90,82,55.99,5.82
georgetown,MY,5.41,100.34,40,70,89.6,5.82
iqaluit,CA,63.75,-68.51,90,74,33.8,6.93
bredasdorp,ZA,-34.53,20.04,0,93,44.6,3.36
illoqqortoormiut, ,0.0,0.0,0,0,0.0,0.0
vila franca do campo,PT,37.72,-25.43,20,68,64.4,5.82
dudinka,RU,69.41,86.18,2,42,62.6,24.61
belushya guba, ,0.0,0.0,0,0,0.0,0.0
